[2024-06-29 12:02:34,635:INFO:main:welcome to custom log]
[2024-06-29 12:07:34,133:INFO:main:welcome to custom log]
[2024-07-09 11:59:12,668:INFO:main:welcome to custom log]
[2024-07-09 12:01:07,045:INFO:rough:this is my object]
[2024-07-09 12:01:32,622:INFO:rough:this is my object]
[2024-07-09 13:58:44,804:INFO:rough:this is my new object]
[2024-07-09 14:00:04,882:INFO:rough:this is my rough module]
[2024-07-09 15:54:35,595:INFO:main:welcome to custom log]
[2024-07-09 15:54:48,481:INFO:rough:this is new my rough module]
[2024-07-09 15:56:00,614:INFO:rough:this is new my rough module]
[2024-07-09 15:56:08,121:INFO:main:welcome to custom log]
[2024-07-09 15:56:23,886:INFO:common:new message]
[2024-07-09 16:04:14,623:INFO:main:welcome to custom log]
[2024-07-09 16:04:20,063:INFO:common:new message]
[2024-07-09 18:33:24,666:INFO:rough:this is new my rough module]
[2024-07-10 14:12:18,003:INFO:01_data_ingestion:im poojitha]
[2024-07-10 15:07:01,733:INFO:common:yaml file: config/config.yaml loaded successfully]
[2024-07-10 15:07:01,734:INFO:common:yaml file: params.yaml loaded successfully]
[2024-07-10 15:07:01,734:INFO:common:created directory at: artifacts]
[2024-07-10 15:07:01,734:INFO:common:created directory at: artifacts/data_ingestion]
[2024-07-10 15:12:29,569:INFO:common:yaml file: config/config.yaml loaded successfully]
[2024-07-10 15:12:29,570:INFO:01_data_ingestion:config yaml readed]
[2024-07-10 15:12:29,570:INFO:common:yaml file: params.yaml loaded successfully]
[2024-07-10 15:12:29,570:INFO:01_data_ingestion:params yaml readed]
[2024-07-10 15:12:29,570:INFO:common:created directory at: artifacts]
[2024-07-10 15:12:29,570:INFO:common:created directory at: artifacts/data_ingestion]
[2024-07-10 15:12:59,011:INFO:common:yaml file: config/config.yaml loaded successfully]
[2024-07-10 15:12:59,011:INFO:01_data_ingestion:config yaml readed]
[2024-07-10 15:12:59,012:INFO:common:yaml file: params.yaml loaded successfully]
[2024-07-10 15:12:59,012:INFO:01_data_ingestion:params yaml readed]
[2024-07-10 15:12:59,012:INFO:common:created directory at: artifacts]
[2024-07-10 15:12:59,012:INFO:common:created directory at: artifacts/data_ingestion]
[2024-07-10 15:13:16,618:INFO:common:yaml file: config/config.yaml loaded successfully]
[2024-07-10 15:13:16,618:INFO:01_data_ingestion:config yaml readed]
[2024-07-10 15:13:16,618:INFO:common:yaml file: params.yaml loaded successfully]
[2024-07-10 15:13:16,618:INFO:01_data_ingestion:params yaml readed]
[2024-07-10 15:13:16,618:INFO:common:created directory at: artifacts]
[2024-07-10 15:13:56,291:INFO:common:yaml file: config/config.yaml loaded successfully]
[2024-07-10 15:13:56,291:INFO:01_data_ingestion:config yaml readed]
[2024-07-10 15:13:56,292:INFO:common:yaml file: params.yaml loaded successfully]
[2024-07-10 15:13:56,292:INFO:01_data_ingestion:params yaml readed]
[2024-07-10 15:13:56,292:INFO:common:created directory at: artifacts]
[2024-07-10 15:15:32,575:INFO:common:yaml file: config/config.yaml loaded successfully]
[2024-07-10 15:15:32,575:INFO:01_data_ingestion:config yaml readed]
[2024-07-10 15:15:32,575:INFO:common:yaml file: params.yaml loaded successfully]
[2024-07-10 15:15:32,575:INFO:01_data_ingestion:params yaml readed]
[2024-07-10 15:15:32,575:INFO:common:created directory at: artifacts]
[2024-07-10 15:17:14,155:INFO:common:yaml file: config/config.yaml loaded successfully]
[2024-07-10 15:17:14,155:INFO:01_data_ingestion:config yaml readed]
[2024-07-10 15:17:14,156:INFO:common:yaml file: params.yaml loaded successfully]
[2024-07-10 15:17:14,156:INFO:01_data_ingestion:params yaml readed]
[2024-07-10 15:17:14,156:INFO:common:created directory at: artifacts]
[2024-07-10 15:17:52,752:INFO:common:yaml file: config/config.yaml loaded successfully]
[2024-07-10 15:17:52,753:INFO:common:yaml file: params.yaml loaded successfully]
[2024-07-10 15:17:52,753:INFO:common:created directory at: artifacts]
[2024-07-10 15:22:38,676:INFO:common:yaml file: config/config.yaml loaded successfully]
[2024-07-10 15:22:38,676:INFO:common:yaml file: params.yaml loaded successfully]
[2024-07-10 15:22:38,676:INFO:common:created directory at: artifacts]
[2024-07-10 15:22:51,744:INFO:common:yaml file: config/config.yaml loaded successfully]
[2024-07-10 15:22:51,744:INFO:common:yaml file: params.yaml loaded successfully]
[2024-07-10 15:22:51,745:INFO:common:created directory at: artifacts]
[2024-07-10 15:23:06,901:INFO:common:yaml file: config/config.yaml loaded successfully]
[2024-07-10 15:23:06,901:INFO:common:yaml file: params.yaml loaded successfully]
[2024-07-10 15:23:06,901:INFO:common:created directory at: artifacts]
[2024-07-10 15:24:44,227:INFO:common:yaml file: config/config.yaml loaded successfully]
[2024-07-10 15:24:44,227:INFO:common:yaml file: params.yaml loaded successfully]
[2024-07-10 15:24:44,227:INFO:common:created directory at: artifacts]
[2024-07-10 15:27:46,042:INFO:common:yaml file: config/config.yaml loaded successfully]
[2024-07-10 15:27:46,043:INFO:common:yaml file: params.yaml loaded successfully]
[2024-07-10 15:27:46,043:INFO:common:created directory at: artifacts]
[2024-07-10 15:27:46,043:INFO:common:created directory at: artifacts/data_ingestion]
[2024-07-10 15:29:22,758:INFO:common:yaml file: config/config.yaml loaded successfully]
[2024-07-10 15:29:22,759:INFO:common:yaml file: params.yaml loaded successfully]
[2024-07-10 15:29:22,759:INFO:common:created directory at: artifacts]
